discovery_sequence,program_name,source_url,canonical_url,catalogue_identifier,program_identifier,section_found_in,detected_credentials,classification_evidence,exclusion_reason,classified_at
476,Communication Data Science Dual Degree with Tsinghua University School of Journalism and Communication (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32682&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32682,catoid=22,poid=32682,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Communication Data Science Dual Degree with Tsinghua University School of Journalism and Communication (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""], ""match"": ""dual degree""}",dual degree designation: 'dual degree',2026-07-31T01:26:34Z
477,Computer Science Dual Degree with Tsinghua University School of Information Science and Technology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32100&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32100,catoid=22,poid=32100,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Computer Science Dual Degree with Tsinghua University School of Information Science and Technology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""], ""match"": ""dual degree""}",dual degree designation: 'dual degree',2026-07-31T01:26:34Z
478,Pharmaceutical Economics and Policy (PhD),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31787&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31787,catoid=22,poid=31787,"Programs, Minors and Certificates","[""PhD""]","{""title"": ""Pharmaceutical Economics and Policy (PhD)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""PhD"", ""credential_groups"": [""PhD""], ""undergrad_tokens"": [], ""graduate_tokens"": [""PhD""]}",graduate credential(s) ['PhD'] in credential field 'PhD',2026-07-31T01:26:34Z
485,Master of Business Administration/Doctor of Medicine (MBA/MD),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31627&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31627,catoid=22,poid=31627,"Programs, Minors and Certificates","[""MBA"", ""MD""]","{""title"": ""Master of Business Administration/Doctor of Medicine (MBA/MD)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MD"", ""credential_groups"": [""MBA/MD""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MD""]}","graduate credential(s) ['MBA', 'MD'] in credential field 'MBA/MD'",2026-07-31T01:26:34Z
486,Master of Business Administration/Doctor of Pharmacy (MBA/PharmD),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31628&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31628,catoid=22,poid=31628,"Programs, Minors and Certificates","[""MBA"", ""PharmD""]","{""title"": ""Master of Business Administration/Doctor of Pharmacy (MBA/PharmD)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/PharmD"", ""credential_groups"": [""MBA/PharmD""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""PharmD""]}","graduate credential(s) ['MBA', 'PharmD'] in credential field 'MBA/PharmD'",2026-07-31T01:26:34Z
487,Master of Business Administration/Juris Doctor (MBA/JD),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31620&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31620,catoid=22,poid=31620,"Programs, Minors and Certificates","[""MBA"", ""JD""]","{""title"": ""Master of Business Administration/Juris Doctor (MBA/JD)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/JD"", ""credential_groups"": [""MBA/JD""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""JD""]}","graduate credential(s) ['MBA', 'JD'] in credential field 'MBA/JD'",2026-07-31T01:26:34Z
488,Master of Business Administration/Master of Arts in East Asian Area Studies (MBA/MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31621&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31621,catoid=22,poid=31621,"Programs, Minors and Certificates","[""MBA"", ""MA""]","{""title"": ""Master of Business Administration/Master of Arts in East Asian Area Studies (MBA/MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MA"", ""credential_groups"": [""MBA/MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MA""]}","graduate credential(s) ['MBA', 'MA'] in credential field 'MBA/MA'",2026-07-31T01:26:34Z
489,Master of Business Administration/Master of Arts in Jewish Nonprofit Management (MBA/MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31629&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31629,catoid=22,poid=31629,"Programs, Minors and Certificates","[""MBA"", ""MA""]","{""title"": ""Master of Business Administration/Master of Arts in Jewish Nonprofit Management (MBA/MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MA"", ""credential_groups"": [""MBA/MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MA""]}","graduate credential(s) ['MBA', 'MA'] in credential field 'MBA/MA'",2026-07-31T01:26:34Z
490,Master of Business Administration/Master of Real Estate Development (MBA/MRED),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32376&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32376,catoid=22,poid=32376,"Programs, Minors and Certificates","[""MBA"", ""MRED""]","{""title"": ""Master of Business Administration/Master of Real Estate Development (MBA/MRED)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MRED"", ""credential_groups"": [""MBA/MRED""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MRED""]}","graduate credential(s) ['MBA', 'MRED'] in credential field 'MBA/MRED'",2026-07-31T01:26:34Z
491,Master of Business Administration/Master of Science in Gerontology (MBA/MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31624&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31624,catoid=22,poid=31624,"Programs, Minors and Certificates","[""MBA"", ""MS""]","{""title"": ""Master of Business Administration/Master of Science in Gerontology (MBA/MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MS"", ""credential_groups"": [""MBA/MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MS""]}","graduate credential(s) ['MBA', 'MS'] in credential field 'MBA/MS'",2026-07-31T01:26:34Z
