sequence_number,program_name,credential,school,catalogue_year,catalogue_identifier,program_identifier,source_url,canonical_url,acquisition_mode,output_filename,content_character_count,content_line_count,content_sha256,file_sha256,source_html_sha256,rendered_dom_sha256,classification_status,extraction_status,retrieved_at
1,Accounting (BS),BS,,2026-2027,catoid=22,poid=31653,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31653&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31653,direct_html,001_accounting_bs.txt,8720,115,fcebef2ac24f8d778dd661139797661882651d426b7777352a913a9dc0fc692f,708484e5a16641e1dc75698af9ce070b76adeff95e99f892078831e6220a1ebe,5b319fbd7fd682f21dee884d0ff72c089259064769eb0bddb9dc1aa850251df5,,included,complete,2026-07-31T00:48:58Z
2,Accounting and Finance (BS),BS,Leventhal School of Accounting,2026-2027,catoid=22,poid=32801,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32801&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32801,direct_html,002_accounting_and_finance_bs.txt,4039,99,c501d2c7fea48c248a0df2f6f646177be9ad1ef613c841927b8276aeca3434c3,7eb8a3b01cf829fe0f34ba1267774bfd23c8ae3fbf531d0252099f1d66b14c8c,e8fcbde9d03e2eef729f6961872118c6762e5e5f14268343735a604f482d8d3c,,included,complete,2026-07-31T00:49:01Z
3,"Acting, Stage and Screen (BFA)",BFA,,2026-2027,catoid=22,poid=32769,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32769&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32769,direct_html,003_acting_stage_and_screen_bfa.txt,5017,104,a2c067512edb523784a098da640eb430d86e624adcbf074ea2df322a1113a0f1,4692bc179fabe88d686f53a2d662960e553931cb0b2344af291f4835bda12fac,c785b2062b68eb414e7675b5f4d0ba9d6ca5493ba240a9957494cc574b38f9e6,,included,complete,2026-07-31T00:49:03Z
4,Aerospace Engineering (BS),BS,,2026-2027,catoid=22,poid=32035,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32035&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32035,direct_html,004_aerospace_engineering_bs.txt,3084,110,7e977642a8ecc2481cd90dbe12fb105e5181f74d5758ac9d3cd7eb15431fe822,a8edfc8a74eba60a8d2c937f3b11f7293c1e4fdef37837708049738e79bfc9d0,5420180594730aa0726b45193c07b8da06caa67730b1a63c45af7df542a5a8f8,,included,complete,2026-07-31T00:49:05Z
5,American Popular Culture (BA),BA,,2026-2027,catoid=22,poid=32471,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32471&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32471,direct_html,005_american_popular_culture_ba.txt,6254,134,40420b4b3ece9ada3d780c5e18399b1ca3bf0d92b337ad4acf4d6150fa8c8bde,0e472e9db0f5f85d183c86b7873170fc6424c50c69556553a6fa6ce9c870ab60,f7b1e36ebbf85babfc609ae021bd08e525452806e93582a20b15c7984c5fb50a,,included,complete,2026-07-31T00:49:07Z
6,American Studies and Ethnicity (African American Studies) (BA),BA,,2026-2027,catoid=22,poid=31692,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31692&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31692,direct_html,006_american_studies_and_ethnicity_ba.txt,5363,112,5fcdb8c4b2a1dfa0c067db63bba8868e373f652ef2a0c2fa4016e4b1c7a2f5e0,b96a7f8bbd4bb0dd689c8d72c961622dcf0f9cb1720a670e7a04c9fbb61f7fc5,a526b332a7611021bf6b80942b4168f9f082ddf9f0ab4ab41ecdc49b4c873ed4,,included,complete,2026-07-31T00:49:09Z
7,American Studies and Ethnicity (Asian American Studies) (BA),BA,,2026-2027,catoid=22,poid=31693,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31693&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31693,direct_html,007_american_studies_and_ethnicity_ba.txt,3899,84,2858e600149aab3cf92f4434b7f486c443e04c529cd86cb3e70471fdf857fa3c,22b40703c9dbb3267fe57ebd8ed01ef6b10ec2d9b3f5fadf845d7b134e826c4f,35c1024122606bbbaf725adf57b53dfdccbcc877526e453437244e7cdbf8db07,,included,complete,2026-07-31T00:49:12Z
8,American Studies and Ethnicity (BA),BA,,2026-2027,catoid=22,poid=31691,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31691&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31691,direct_html,008_american_studies_and_ethnicity_ba.txt,5939,142,f137f11e75084b0aefabe66909e82d1abdb924e42e11d815f26d94276ebd1aef,8ccb986c6a3502aeb6ff517e14c3301ec2b90370d4cfabadc80a4256b23f71eb,3408351a55bdc8c5d56d7ee6d056bdb5c74c252d54bef5ee0ca4c1e627175f38,,included,complete,2026-07-31T00:49:14Z
9,American Studies and Ethnicity (Chicano/Latino Studies) (BA),BA,,2026-2027,catoid=22,poid=31694,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31694&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31694,direct_html,009_american_studies_and_ethnicity_ba.txt,4603,98,5b6ca9a390d06165298dafb4625c1d92aa653e278847b435ee004966a2acdf73,1f2a92ed1cea9624b317665df55ac56b31276d1eeb7a262b01a3cd336a65d2b0,59cdce8ac256cd20d480c7f572ade4ac0ed5cc29d18f8a679e0d380e6945d60b,,included,complete,2026-07-31T00:49:16Z
10,Animation and Digital Arts (BFA),BFA,,2026-2027,catoid=22,poid=32669,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32669&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32669,direct_html,010_animation_and_digital_arts_bfa.txt,7585,185,f0c9c2b39ae297672af31ddb738484f25eb584c65ea781cda4efaaa574f9a3ea,cb9622579a25f4b1d2a9375e1754087b283f88c0da9ab3a029369b4d60c4dda3,5d67040d3ae31d4340b10d40c59c0af0b78a55800b9bf716ec1debd12a315e73,,included,complete,2026-07-31T00:49:19Z
11,Anthropology (BA),BA,,2026-2027,catoid=22,poid=31699,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31699&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31699,direct_html,011_anthropology_ba.txt,5123,111,34fb4bef88b9bfbf144549e5c1c5f79ed2e1307c350e5a86bd028cec23b2b7c4,649c3cb06cb8cb1c5988a6f3b32caf2906bd1ce770fa6953cdcc354f9667e808,96f36bdebbe553daa66b94c4fe5eba870dcd2c300e7a532d3975f7d9afc30449,,included,complete,2026-07-31T00:49:21Z
12,Anthropology (Visual Anthropology) (BA),BA,,2026-2027,catoid=22,poid=31700,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31700&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31700,direct_html,012_anthropology_ba.txt,2302,76,40cbc0f89d7bf70ac4b18e7f58078fc749a807d11682164cd3e0dbfd99244870,ce51f52597a637053da85ae082d5a618cf0dec49d09e8cd314dc2cebb328949f,db4ad0236cdf157497de0f1ba522ff91221f62dcc803b210719218a81089bbfe,,included,complete,2026-07-31T00:49:23Z
13,Applied and Computational Mathematics (BA),BA,,2026-2027,catoid=22,poid=31854,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31854&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31854,direct_html,013_applied_and_computational_mathematics_ba.txt,5894,146,f6a8ab4756f685bd1abd9cd9ec39f909face8dfb253bf631b22057c59cd79a8d,cc57c7ae019d57b4c1f1b029964519baf53a238725fe501459487e2731cc0dc7,dda31d4224d2a469b33357f08936028843d492bf7603166a53499399d956f2d5,,included,complete,2026-07-31T00:49:25Z
14,Applied and Computational Mathematics (BS),BS,,2026-2027,catoid=22,poid=31855,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31855&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31855,direct_html,014_applied_and_computational_mathematics_bs.txt,6039,155,d39c4066c1ea58687870706d78a28140752f44b2fe16ca01e3fd714f13613739,29233e7d3aa4c96cf8c706af8d999f60e4c6741303f6c9643145c2264d77a8fd,1783e4ad6b2bd0cfc5b4b42c1e0cf7ef5ec8ccef27fb68df74cd4ac5cd024300,,included,complete,2026-07-31T00:49:28Z
15,Archaeology and Heritage Studies (BA),BA,,2026-2027,catoid=22,poid=32908,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32908&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32908,direct_html,015_archaeology_and_heritage_studies_ba.txt,11878,220,2c5e8ef827ebec9630933caf56807e57eb65d7322c2936d26ced2bda12490366,d5548563895eb6e410ef1641e39bc75b7d4cf3102e033f31393f82f47ff12148,f6879f50c14b2fc35a90a74d19b8f20c0838f46ac2d9a9502bde61751a52bc78,,included,complete,2026-07-31T00:49:29Z
16,Architectural Studies (BS),BS,School of Architecture at the time of application,2026-2027,catoid=22,poid=31557,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31557&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31557,direct_html,016_architectural_studies_bs.txt,10256,201,385191dac890c9d2cfb1ca7416662b3e8f373c71e122232d62d9eec03191501f,ad02dc048d61fc3ca306f7322fded26e5b180eb455c321df4e21f2c7306d524b,85b50ac969f9c4869dbb1dae0107c17a8db88a1f17435d7419f8662d655df549,,included,complete,2026-07-31T00:49:31Z
17,Architecture (BArch),BArch,School of Architecture must complete the Common Application with a port,2026-2027,catoid=22,poid=31587,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31587&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31587,direct_html,017_architecture_barch.txt,11753,247,ba13025c18b16e6b6b52ef9f5361f1e7422dc11858c9c468091c7616ca1110be,3b1caefb094c17478da5526f8d864494150662c7309825764a5313b62007efb6,60488e4f52c316bcb9a06b1323240a963e6d6a7fa9a613007d09b4bec799568a,,included,complete,2026-07-31T00:49:33Z
18,Architecture and Inventive Technologies (BS),BS,,2026-2027,catoid=22,poid=32770,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32770&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32770,direct_html,018_architecture_and_inventive_technologies_bs.txt,3805,61,0db4f353ec8740ee4c579c9ec1d89bd02363d2ec133b912a158e706f8d21a9d3,76818805a04452ec17a28007ebfcfc293019f18cb5e0d52bd6e271df273b52c3,7bd482c41f2d1b9d201a846eb3b0edf6c86245fcca95515784f7c24b01206062,,included,complete,2026-07-31T00:49:35Z
19,Art (BA)*,BA,,2026-2027,catoid=22,poid=31572,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31572&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31572,direct_html,019_art_ba.txt,2487,60,624d9a010ff67c316747b2dc751252fea667166882ff2a64d82a848937762245,c3c4a8b9b8e6e88e2d55a7618bba082fd9179ff9effe53aa61d0878882485093,becefc684295fc527d2757d2a22beeb2b1ebdf70da854b9fa91b295e7ab81be1,,included,complete,2026-07-31T00:49:38Z
