discovery_sequence,program_name,source_url,program_identifier,reason_for_review,evidence,recommended_action
208,Food Industry Management Program,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31596&returnto=9396,poid=31596,no recognizable credential in official title; needs human confirmation,"{""title"": ""Food Industry Management Program"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
259,Construction Planning and Management Minor (Public Policy),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32374&returnto=9396,poid=32374,no recognizable credential in official title; needs human confirmation,"{""title"": ""Construction Planning and Management Minor (Public Policy)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
286,"Earth Sciences Minor: Climate Change, Stewardship and Resiliency",https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32387&returnto=9396,poid=32387,no recognizable credential in official title; needs human confirmation,"{""title"": ""Earth Sciences Minor: Climate Change, Stewardship and Resiliency"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
350,Jewish American Studies Minor (American Studies),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31697&returnto=9396,poid=31697,no recognizable credential in official title; needs human confirmation,"{""title"": ""Jewish American Studies Minor (American Studies)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
351,Jewish American Studies Minor (Jewish Studies),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31840&returnto=9396,poid=31840,no recognizable credential in official title; needs human confirmation,"{""title"": ""Jewish American Studies Minor (Jewish Studies)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
479,Artist Diploma Program,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32363&returnto=9396,poid=32363,no recognizable credential in official title; needs human confirmation,"{""title"": ""Artist Diploma Program"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
480,Executive MBA Program,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31617&returnto=9396,poid=31617,no recognizable credential in official title; needs human confirmation,"{""title"": ""Executive MBA Program"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
481,Full-time MBA Program,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31613&returnto=9396,poid=31613,no recognizable credential in official title; needs human confirmation,"{""title"": ""Full-time MBA Program"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
482,International MBA Program,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31618&returnto=9396,poid=31618,no recognizable credential in official title; needs human confirmation,"{""title"": ""International MBA Program"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
483,MBA Program for Professionals and Managers,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31614&returnto=9396,poid=31614,no recognizable credential in official title; needs human confirmation,"{""title"": ""MBA Program for Professionals and Managers"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": """", ""undergrad_tokens"": [], ""graduate_tokens"": []}","Open the source URL, confirm the awarded credential, then either add the program to the include set (rerun with resume) or record why it is excluded."
